car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Volkswagen,Golf,2016,Manual,"20,000 - 29,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"8,000 JOD"
Kia,Bongo,1999,Manual,1 - 999,With Customs,Diesel,0 - 499 cc,Cash Only,"3,400 JOD"
Hyundai,Avante,1997,Manual,1 - 999,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Nissan,Leaf,2013,Automatic,"40,000 - 49,999",With Customs,Electric,More than 100 kWh,Cash Only,"6,000 JOD"
Kia,Bongo,2004,Manual,0,With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"4,900 JOD"
Kia,Picanto,2019,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,500 JOD"
Toyota,Prius C,2012,Automatic,"+200,000",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"8,200 JOD"
Jeep,Liberty,2003,Automatic,0,With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"6,500 JOD"
Hyundai,Avante,2000,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,650 JOD"
Mitsubishi,Lancer,1997,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,100 JOD"
Hyundai,Elantra,2016,Automatic,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,450 JOD"
Hyundai,Avante,2017,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"12,000 JOD"
Kia,Sephia,1996,Manual,"40,000 - 49,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"2,100 JOD"
Mercedes Benz,E 200,1990,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"3,350 JOD"
Kia,Spectra,2001,Manual,"+200,000",With Customs,Gasoline,500 - 999 cc,Cash Only,"3,200 JOD"
Peugeot,Other,2009,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,900 JOD"
Toyota,Camry,2015,Automatic,"+200,000",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"15,000 JOD"
Hyundai,Elantra,2011,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,500 JOD"
Ford,F-150,2013,Automatic,"180,000 - 189,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"14,000 JOD"
Hyundai,Sonata,2019,Automatic,"10,000 - 19,999",Without Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,
Toyota,Prius,2013,Automatic,"130,000 - 139,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"9,300 JOD"
Hyundai,Verna,2000,Automatic,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"3,600 JOD"
Mercedes Benz,C 180 Coupe,2013,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"22,000 JOD"
Porsche,Taycan,2022,Automatic,"1,000 - 9,999",With Customs,Electric,More than 100 kWh,Cash Only,"85,000 JOD"
Hyundai,Elantra,2002,Manual,"50,000 - 59,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"3,000 JOD"
Toyota,RAV 4,2005,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"8,100 JOD"
Kia,Sephia,1999,Automatic,1 - 999,With Customs,Gasoline,N/A,Cash Only,"2,500 JOD"
Hyundai,Tucson,2009,Automatic,0,With Customs,Gasoline,N/A,Cash or Installments,N/A
Kia,Forte,2010,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,600 JOD"
Opel,Omega,1995,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,600 JOD"
Kia,Sorento,2005,Automatic,"+200,000",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"6,000 JOD"
Honda,Civic,1997,Automatic,"100,000 - 109,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Hyundai,Avante,2008,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"7,300 JOD"
Mercedes Benz,E 350,2020,Automatic,"30,000 - 39,999",With Customs,Mild Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Honda,CR-V,2001,Automatic,"60,000 - 69,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"5,000 JOD"
Hyundai,H-1 Starex,2003,Manual,0,With Customs,Diesel,N/A,Cash Only,"4,700 JOD"
Hyundai,Avante,2002,Manual,"1,000 - 9,999",With Customs,Gasoline,N/A,Cash Only,"4,200 JOD"
Hyundai,Avante,1996,Manual,0,With Customs,Gasoline,N/A,Cash Only,"3,250 JOD"
Mitsubishi,Lancer,2003,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,000 JOD"
Hyundai,H100,1996,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"2,100 JOD"
Mercedes Benz,C 180,2016,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"25,500 JOD"
Hyundai,H100,1999,Manual,0,With Customs,Diesel,0 - 499 cc,Cash Only,"3,500 JOD"
Audi,Q5,2009,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"10,800 JOD"
Mercedes Benz,E 200,1998,Automatic,"20,000 - 29,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"8,500 JOD"
Toyota,Prius,2015,Automatic,"170,000 - 179,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,000 JOD"
Hyundai,Elantra,2017,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,000 JOD"
Samsung,SM 3,2014,Automatic,"160,000 - 169,999",With Customs,Electric,Less than 50 kWh,Cash Only,"7,000 JOD"
Mazda,3,2019,Automatic,"100,000 - 109,999",With Customs,Gasoline,N/A,Cash Only,"11,500 JOD"
Hyundai,Ioniq,2018,Automatic,"180,000 - 189,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"15,500 JOD"
Mercedes Benz,C 180,2012,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"16,000 JOD"
Kia,Morning,2016,Automatic,"+200,000",With Customs,Gasoline,500 - 999 cc,Cash Only,"7,150 JOD"
Chevrolet,Aveo,2006,Automatic,1 - 999,Without Customs,Gasoline,N/A,Cash Only,"2,800 JOD"
Kia,Morning,2016,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,500 JOD"
Dodge,Ram,2019,Automatic,"90,000 - 99,999",With Customs,Gasoline,N/A,Cash Only,"30,000 JOD"
Kia,Forte,2012,Automatic,"100,000 - 109,999",With Customs,Gasoline,0 - 499 cc,Cash Only,"9,000 JOD"
Fiat,500e,2015,Automatic,"140,000 - 149,999",With Customs,Electric,90 - 99 kWh,Cash Only,"8,500 JOD"
Mercedes Benz,E 200,1992,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"4,200 JOD"
SEAT,Other,1999,Manual,"+200,000",With Customs,Diesel,"1,000 - 1,999 cc",Cash or Installments,N/A
Volkswagen,ID.6,2022,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Kia,Bongo,2004,Manual,1 - 999,With Customs,Diesel,N/A,Cash Only,"5,900 JOD"
Kia,Bongo,2012,Manual,0,With Customs,Diesel,N/A,Cash Only,"7,750 JOD"
Toyota,Prius,2018,Automatic,"60,000 - 69,999",With Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash Only,"15,500 JOD"
Volkswagen,Other,2023,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Hyundai,Avante,1996,Automatic,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,900 JOD"
Honda,Accord,2018,Automatic,"50,000 - 59,999",Without Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"19,000 JOD"
Nissan,NP 300,2016,Automatic,"190,000 - 199,999",With Customs,Diesel,N/A,Cash Only,"19,800 JOD"
Mitsubishi,Lancer,2004,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,700 JOD"
Ford,C-MAX,2018,Automatic,"50,000 - 59,999",With Customs,Hybrid,N/A,Cash or Installments,N/A
Kia,Niro,2017,Automatic,"90,000 - 99,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"13,150 JOD"
Toyota,Prius,2012,Automatic,"1,000 - 9,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,Accent,1995,Manual,0,With Customs,Gasoline,N/A,Cash Only,"2,500 JOD"
Hyundai,Avante,1999,Manual,1 - 999,With Customs,Gasoline,N/A,Cash Only,"3,500 JOD"
Honda,Civic,2004,Automatic,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,150 JOD"
BYD,Song Plus,2023,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Opel,Vectra,1995,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,100 JOD"
Hyundai,Kona,2019,Automatic,"160,000 - 169,999",With Customs,Electric,50 - 69 kWh,Cash Only,"15,100 JOD"
Honda,Civic,1997,Manual,"190,000 - 199,999",With Customs,Gasoline,N/A,Cash Only,"1,111 JOD"
Fiat,500e,2015,Automatic,"120,000 - 129,999",With Customs,Electric,70 - 89 kWh,Cash Only,"8,400 JOD"
Hyundai,Elantra,2018,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"43,000 JOD"
BYD,Han EV,2023,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash or Installments,N/A
Kia,Sephia,1996,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"2,100 JOD"
Hyundai,H100,2001,Manual,"100,000 - 109,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"1,000 JOD"
Hyundai,Sonata,2012,Automatic,"140,000 - 149,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"10,300 JOD"
Ford,Focus,2015,Automatic,"100,000 - 109,999",With Customs,Electric,70 - 89 kWh,Cash Only,"7,750 JOD"
Opel,Vectra,2000,Manual,"10,000 - 19,999",With Customs,Gasoline,N/A,Cash Only,"2,000 JOD"
Renault,Kangoo,2005,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,400 JOD"
Toyota,Yaris,2009,Automatic,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"7,000 JOD"
Honda,Accord,2019,Automatic,"70,000 - 79,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"18,800 JOD"
Fiat,500e,2015,Automatic,"90,000 - 99,999",With Customs,Electric,70 - 89 kWh,Cash Only,"7,900 JOD"
BMW,520,1998,Automatic,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,300 JOD"
Renault,Zoe,2018,Automatic,"80,000 - 89,999",With Customs,Electric,70 - 89 kWh,Cash Only,"11,700 JOD"
Hyundai,Avante,2015,Automatic,"90,000 - 99,999",With Customs,Gasoline,N/A,Cash Only,"11,000 JOD"
Kia,Pregio,1996,Manual,"10,000 - 19,999",With Customs,Diesel,N/A,Cash Only,"1,850 JOD"
Mercedes Benz,Other,1985,Automatic,"180,000 - 189,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"3,000 JOD"
Mitsubishi,Fuso Canter,2015,Manual,"40,000 - 49,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash or Installments,N/A
Kia,Bongo,2009,Manual,0,With Customs,Diesel,N/A,Cash or Installments,N/A
Hyundai,Accent,2016,Automatic,"140,000 - 149,999",With Customs,Gasoline,N/A,Cash Only,"8,200 JOD"
Toyota,Prius,2016,Automatic,"+200,000",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"13,100 JOD"
Chevrolet,Cruze,2010,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,799 JOD"
Honda,Civic,2008,Automatic,0,With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,Elantra,1992,Manual,"40,000 - 49,999",With Customs,Gasoline,0 - 499 cc,Cash Only,"1,800 JOD"
BYD,Yuan,2023,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
BYD,E2,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Jeep,Wrangler,2011,Automatic,"150,000 - 159,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,999 JOD
Honda,Civic,2005,Automatic,"1,000 - 9,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,500 JOD"
Mitsubishi,Lancer,2022,Manual,"170,000 - 179,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Mitsubishi,Other,2017,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"60,000 JOD"
Volkswagen,Golf MK4,1999,Automatic,1 - 999,With Customs,Gasoline,N/A,Cash Only,"4,300 JOD"
Mazda,3,2014,Automatic,"+200,000",With Customs,Gasoline,N/A,Cash Only,"8,000 JOD"
Kia,Spectra,2001,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"3,700 JOD"
Hyundai,Avante,2015,Automatic,"10,000 - 19,999",With Customs,Gasoline,N/A,Cash Only,"9,900 JOD"
Hyundai,H-1 Starex,2011,Automatic,"160,000 - 169,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,H-1 Starex,2007,Automatic,"180,000 - 189,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash or Installments,N/A
Citroen,C4,2012,Automatic,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash or Installments,N/A
Hyundai,Sonata,2017,Automatic,"190,000 - 199,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Mitsubishi,Lancer,2011,Automatic,0,With Customs,Gasoline,500 - 999 cc,Cash or Installments,N/A
Kia,Spectra,2001,Automatic,0,With Customs,Gasoline,0 - 499 cc,Cash Only,"3,400 JOD"
BMW,520,1989,Manual,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Toyota,Prius,2015,Automatic,"120,000 - 129,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,800 JOD"
Kia,Sephia,1997,Automatic,0,With Customs,Gasoline,0 - 499 cc,Cash Only,"2,200 JOD"
Hyundai,Sonata,2017,Automatic,"80,000 - 89,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"13,500 JOD"
Chevrolet,Malibu,2020,Automatic,"50,000 - 59,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"14,900 JOD"
Honda,Accord,2005,Automatic,"170,000 - 179,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"5,000 JOD"
Mercedes Benz,Vito,2014,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"10,750 JOD"
Hyundai,Kona,2019,Automatic,"160,000 - 169,999",With Customs,Electric,50 - 69 kWh,Cash Only,"15,100 JOD"
Kia,Cerato,2008,Manual,1 - 999,With Customs,Gasoline,N/A,Cash Only,"6,000 JOD"
Nissan,Navara,2012,Automatic,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"10,500 JOD"
Toyota,Camry,2020,Automatic,"40,000 - 49,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"23,400 JOD"
Nissan,Sunny,2013,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,700 JOD"
Kia,Picanto,2016,Automatic,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,800 JOD"
Smart,Fortow,2015,Automatic,"100,000 - 109,999",With Customs,Electric,50 - 69 kWh,Cash Only,"5,800 JOD"
Hyundai,Ioniq,2019,Automatic,"170,000 - 179,999",With Customs,Hybrid,"1,000 - 1,999 cc",Installments Only,N/A
Nissan,Leaf,2014,Automatic,"120,000 - 129,999",With Customs,Electric,Less than 50 kWh,Cash Only,"7,800 JOD"
Mitsubishi,Lancer,2007,Manual,"1,000 - 9,999",With Customs,Gasoline,N/A,Cash Only,"6,700 JOD"
Honda,CR-V,2023,Automatic,0,Without Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Sonata,2016,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,000 JOD"
Ford,Fusion,2019,Automatic,"80,000 - 89,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Kona,2023,Automatic,0,With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"18,800 JOD"
Kia,K3,2018,Automatic,"90,000 - 99,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"12,300 JOD"
Hyundai,Avante,2000,Automatic,"110,000 - 119,999",With Customs,Gasoline,N/A,Cash Only,"4,000 JOD"
Hyundai,H100,2001,Manual,"50,000 - 59,999",With Customs,Diesel,N/A,Cash Only,"4,300 JOD"
Hyundai,Verna,1999,Manual,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,300 JOD"
Hyundai,Avante,2012,Automatic,"70,000 - 79,999",With Customs,Gasoline,"More than 6,000 cc",Cash Only,"10,000 JOD"
Hyundai,Ioniq,2019,Automatic,"90,000 - 99,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Hyundai,Elantra,2003,Automatic,1 - 999,With Customs,Gasoline,N/A,Cash Only,"4,500 JOD"
Hyundai,Avante,1995,Manual,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"3,200 JOD"
Honda,Civic,1997,Manual,0,With Customs,Gasoline,N/A,Cash Only,"4,000 JOD"
Suzuki,Baleno,2019,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,500 JOD"
Kia,Sportage,2010,Automatic,"170,000 - 179,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"8,100 JOD"
Nissan,Sunny,2011,Automatic,"1,000 - 9,999",With Customs,Gasoline,500 - 999 cc,Cash Only,"7,750 JOD"
Ford,F-150,2018,Automatic,"50,000 - 59,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash Only,"22,000 JOD"
Toyota,Camry,2017,Automatic,"100,000 - 109,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"16,500 JOD"
Isuzu,Pickup,2005,Manual,"10,000 - 19,999",With Customs,Diesel,"1,000 - 1,999 cc",Cash Only,"34,500 JOD"
Ford,Fusion,2019,Automatic,"20,000 - 29,999",Without Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,
Kia,Sephia,1995,Manual,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"1,450 JOD"
Hyundai,Ioniq,2018,Automatic,"100,000 - 109,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"16,500 JOD"
Kia,Picanto,2021,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,200 JOD"
Hyundai,Elantra,1994,Manual,"50,000 - 59,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"2,200 JOD"
Kia,Picanto,2016,Manual,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"6,400 JOD"
Dodge,Ram,2014,Automatic,"100,000 - 109,999",With Customs,Diesel,"3,000 - 3,999 cc",Cash Only,"19,000 JOD"
Kia,Bongo,2002,Manual,"+200,000",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"4,250 JOD"
Volkswagen,Beetle,2001,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"4,600 JOD"
Mercedes Benz,CLK 200,2003,Automatic,"+200,000",With Customs,Gasoline,N/A,Cash Only,"10,800 JOD"
Ford,Fusion,2018,Automatic,"110,000 - 119,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"15,000 JOD"
Mitsubishi,Galant,2008,Automatic,"90,000 - 99,999",With Customs,Gasoline,"2,000 - 2,999 cc",Installments Only,N/A
BMW,X5,2001,Automatic,"40,000 - 49,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash Only,"6,500 JOD"
Ford,Fusion,2017,Automatic,"170,000 - 179,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Toyota,Prius,2009,Automatic,"10,000 - 19,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"6,250 JOD"
Kia,Niro,2022,Automatic,"1,000 - 9,999",With Customs,Electric,50 - 69 kWh,Cash Only,"20,200 JOD"
Hyundai,Avante,2001,Manual,0,With Customs,Gasoline,N/A,Cash Only,"4,000 JOD"
Mitsubishi,Lancer,2000,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Tesla,3,2019,Automatic,"50,000 - 59,999",With Customs,Electric,50 - 69 kWh,Cash Only,"17,400 JOD"
Jeep,Grand Cherokee,2015,Automatic,"80,000 - 89,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash or Installments,N/A
Mercedes Benz,G 550,2004,Automatic,"40,000 - 49,999",With Customs,Gasoline,"5,000 - 5,999 cc",Cash Only,"50,000 JOD"
Lexus,Other,2010,Automatic,"70,000 - 79,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"10,400 JOD"
Toyota,Camry,2008,Automatic,"170,000 - 179,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Kia,Sephia,1996,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"1,700 JOD"
BMW,Other,1990,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Installments Only,N/A
Hyundai,H-1 Starex,1999,Manual,0,With Customs,Diesel,0 - 499 cc,Cash Only,"2,600 JOD"
Ford,Focus,2007,Automatic,"20,000 - 29,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Hyundai,Avante,2011,Automatic,"180,000 - 189,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,600 JOD"
Toyota,Camry,2018,Automatic,"60,000 - 69,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"22,000 JOD"
Mitsubishi,Lancer,1991,Manual,0,With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,800 JOD"
Kia,Cerato,2012,Automatic,"190,000 - 199,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"8,300 JOD"
Toyota,Camry,2019,Automatic,"50,000 - 59,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"19,500 JOD"
BMW,320,2006,Automatic,1 - 999,With Customs,Gasoline,0 - 499 cc,Cash Only,"9,000 JOD"
Hyundai,Kona,2019,Automatic,"10,000 - 19,999",With Customs,Electric,50 - 69 kWh,Cash Only,"16,300 JOD"
JMC,Other,2005,Manual,"10,000 - 19,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"3,500 JOD"
Hyundai,Accent,1997,Manual,0,With Customs,Gasoline,N/A,Cash Only,"2,500 JOD"
Hyundai,Sonata,2015,Automatic,"160,000 - 169,999",With Customs,Hybrid,0 - 499 cc,Cash Only,"9,500 JOD"
Kia,Optima,2015,Automatic,"+200,000",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"10,500 JOD"
Ford,Fusion,2012,Automatic,"190,000 - 199,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"11,500 JOD"
Volkswagen,E-Golf,2019,Automatic,"10,000 - 19,999",With Customs,Electric,Less than 50 kWh,Cash or Installments,N/A
Mitsubishi,L200,2006,Manual,"20,000 - 29,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"7,500 JOD"
Hyundai,Avante,2000,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,500 JOD"
Mercedes Benz,S 280,1977,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"4,500 JOD"
Kia,Optima K5,2021,Automatic,"50,000 - 59,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Kia,Rio,2016,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,950 JOD"
Peugeot,5008,2021,Automatic,"50,000 - 59,999",Without Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,400 JOD"
Chevrolet,Spark,2013,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"4,800 JOD"
Hyundai,H-1 Starex,2012,Automatic,"30,000 - 39,999",Without Customs,Diesel,N/A,Cash Only,"5,600 JOD"
Hyundai,Azera,2018,Automatic,"110,000 - 119,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"18,850 JOD"
Mitsubishi,Mirage,1997,Automatic,0,With Customs,Gasoline,N/A,Cash Only,"4,500 JOD"
Ford,Fusion,2019,Automatic,"70,000 - 79,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Kia,Forte,2011,Automatic,"140,000 - 149,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,500 JOD"
Hyundai,Verna,2000,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"3,500 JOD"
Hyundai,Santa Fe,2013,Automatic,"150,000 - 159,999",With Customs,Gasoline,"3,000 - 3,999 cc",Cash or Installments,N/A
Hyundai,Accent,2015,Automatic,"160,000 - 169,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"7,700 JOD"
Audi,A5,2016,Automatic,"90,000 - 99,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"28,000 JOD"
Hyundai,Accent,2017,Automatic,"110,000 - 119,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"9,900 JOD"
Hyundai,Sonata,2018,Automatic,"150,000 - 159,999",With Customs,Hybrid,N/A,Cash Only,"18,900 JOD"
Mitsubishi,L200,2012,Manual,"1,000 - 9,999",With Customs,Diesel,"2,000 - 2,999 cc",Cash Only,"9,000 JOD"
Kia,Niro,2022,Automatic,"120,000 - 129,999",Without Customs,Electric,50 - 69 kWh,Cash Only,
Hyundai,Sonata,2011,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"6,500 JOD"
Mercedes Benz,B 250,2014,Automatic,"90,000 - 99,999",With Customs,Electric,70 - 89 kWh,Cash Only,"11,500 JOD"
Toyota,Prius,2010,Automatic,"170,000 - 179,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"10,000 JOD"
Kia,Sephia,1995,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"2,200 JOD"
Kia,Optima K5,2012,Automatic,"170,000 - 179,999",With Customs,Hybrid,N/A,Cash Only,"12,500 JOD"
Suzuki,Grand Vitara,2011,Automatic,"190,000 - 199,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"8,000 JOD"
Ford,Fusion,2013,Automatic,"+200,000",With Customs,Hybrid,N/A,Cash or Installments,N/A
