car_make,model,year,transmition,kilometers,car_customs,fuel,engine_size,payment method,price
Toyota,bZ4X,2022,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Mercedes Benz,GLC 250,2017,Automatic,"40,000 - 49,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Mercedes Benz,CLS 350,2023,Automatic,"10,000 - 19,999",With Customs,Mild Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Mercedes Benz,C 200 Coupe,2019,Automatic,"60,000 - 69,999",With Customs,Mild Hybrid,"1,000 - 1,999 cc",Cash or Installments,N/A
Mazda,6,2019,Automatic,"30,000 - 39,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Sonata,2021,Automatic,"70,000 - 79,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Toyota,Camry,2013,Automatic,0,With Customs,Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Hyundai,Ioniq,2019,Automatic,"70,000 - 79,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"14,200 JOD"
Isuzu,NPR,2023,Manual,0,With Customs,Diesel,"4,000 - 4,999 cc",Cash Only,"4,850 JOD"
Isuzu,D-Max,2024,Automatic,0,With Customs,Diesel,"3,000 - 3,999 cc",Cash or Installments,N/A
Isuzu,D-Max,2023,Manual,0,With Customs,Diesel,"1,000 - 1,999 cc",Cash or Installments,N/A
Isuzu,NPR,2023,Manual,0,With Customs,Diesel,"4,000 - 4,999 cc",Cash or Installments,N/A
Toyota,Hilux,2023,Automatic,0,With Customs,Diesel,"2,000 - 2,999 cc",Cash or Installments,N/A
Kia,Bongo,2023,Manual,0,With Customs,Diesel,N/A,Cash or Installments,N/A
GAC,Aion,2023,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Kia,Bongo,2023,Manual,0,With Customs,Diesel,"3,000 - 3,999 cc",Cash or Installments,N/A
Mercedes Benz,GLE 350,2022,Automatic,1 - 999,With Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash Only,"79,500 JOD"
Volkswagen,Jetta,2016,Automatic,"60,000 - 69,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"11,750 JOD"
Toyota,Land Cruiser,2022,Automatic,"20,000 - 29,999",With Customs,Gasoline,"4,000 - 4,999 cc",Cash or Installments,N/A
Kia,Pegas,2021,Automatic,"10,000 - 19,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Kia,Optima K5,2012,Automatic,"190,000 - 199,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"8,550 JOD"
BMW,X5,2017,Automatic,"50,000 - 59,999",With Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Land Rover,Range Rover,2022,Automatic,"20,000 - 29,999",With Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash or Installments,N/A
Porsche,Macan,2018,Automatic,"90,000 - 99,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash or Installments,N/A
Ford,Fusion,2017,Automatic,"130,000 - 139,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"14,700 JOD"
Mazda,3,2006,Automatic,"+200,000",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"5,900 JOD"
Kia,Morning,2020,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,
Kia,K3,2018,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,
Toyota,Prius,2021,Automatic,"30,000 - 39,999",Without Customs,Plug-in - Hybrid,"1,000 - 1,999 cc",Cash Only,"18,100 JOD"
Hyundai,Genesis Coupe,2011,Automatic,"90,000 - 99,999",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"9,900 JOD"
Lincoln,MKZ,2014,Automatic,"+200,000",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"13,700 JOD"
Toyota,Corolla,2020,Automatic,"30,000 - 39,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"16,900 JOD"
Changan,E-Star,2023,Automatic,0,With Customs,Electric,Less than 50 kWh,Cash Only,
Kia,Niro,2023,Automatic,"10,000 - 19,999",With Customs,Electric,70 - 89 kWh,Cash Only,"20,400 JOD"
BMW,530e,2020,Automatic,"40,000 - 49,999",With Customs,Plug-in - Hybrid,"2,000 - 2,999 cc",Cash Only,
Hyundai,Avante,2019,Automatic,"80,000 - 89,999",With Customs,Gasoline,N/A,Cash Only,
Hyundai,Accent,2019,Automatic,"60,000 - 69,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,
Honda,e:NP1,2023,Automatic,0,With Customs,Electric,50 - 69 kWh,Cash or Installments,N/A
Ford,Fusion,2017,Automatic,"100,000 - 109,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"16,800 JOD"
Toyota,RAV 4,2021,Automatic,"20,000 - 29,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"29,500 JOD"
Toyota,RAV 4,2019,Automatic,"20,000 - 29,999",With Customs,Hybrid,"2,000 - 2,999 cc",Cash Only,"24,400 JOD"
Tesla,Y,2021,Automatic,0,With Customs,Electric,More than 100 kWh,Cash Only,"28,500 JOD"
Kia,Niro,2018,Automatic,"90,000 - 99,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"14,500 JOD"
Mazda,3,2020,Automatic,"70,000 - 79,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"15,500 JOD"
Nissan,Leaf,2019,Automatic,"60,000 - 69,999",With Customs,Electric,Less than 50 kWh,Installments Only,N/A
Mazda,3,2016,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"1,111 JOD"
Kia,K3,2019,Automatic,"130,000 - 139,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash Only,"13,500 JOD"
Mitsubishi,L200,2023,Automatic,0,With Customs,Diesel,"2,000 - 2,999 cc",Cash or Installments,N/A
BMW,325,2003,Automatic,"+200,000",With Customs,Gasoline,"2,000 - 2,999 cc",Cash Only,"11,200 JOD"
Tesla,3,2022,Automatic,"1,000 - 9,999",With Customs,Electric,More than 100 kWh,Cash or Installments,N/A
Ford,Mustang,2022,Automatic,0,With Customs,Electric,70 - 89 kWh,Cash Only,"39,500 JOD"
Volkswagen,ID.4,2021,Automatic,"20,000 - 29,999",With Customs,Electric,70 - 89 kWh,Cash Only,"17,750 JOD"
Mazda,3,2018,Automatic,"40,000 - 49,999",With Customs,Gasoline,"1,000 - 1,999 cc",Cash or Installments,N/A
Toyota,Prius,2016,Automatic,"110,000 - 119,999",With Customs,Hybrid,"1,000 - 1,999 cc",Cash Only,"11,950 JOD"
